title,n_enrolled,Level,subject,language,weeks_duration,price,on_demand,categ_price,comisiones,costos,sales
"Competencias para buscar, mantener y promocionar en un empleo",24130,Introductory,Social Sciences,Español,1-4,49,True,0-50,4.9,118237.00000000001,1182370
Dynamics and Control,27763,Introductory,Engineering,English,4-8,50,True,0-50,5.0,138815.0,1388150
Finding Your Cybersecurity Career Path,19283,Introductory,Computer Science,English,4-8,199,True,>150,19.900000000000002,383731.70000000007,3837317
Introducción a la caligrafía y paleografía en archivos hispanos medievales y modernos,12674,Introductory,Humanities,Español,4-8,29,True,0-50,2.9000000000000004,36754.600000000006,367546
Mechanics: Rotational Dynamics,13183,Intermediate,Physics,English,8-12,49,True,0-50,4.9,64596.700000000004,645967
Applying Health Coaching in Patient Care,24130,Introductory,Medicine,English,1-4,199,True,>150,19.900000000000002,480187.00000000006,4801870
Databases: Modeling and Theory,24130,Introductory,Computer Science,English,1-4,50,True,0-50,5.0,120650.0,1206500
"Islamic Banking: Principles, Practice and Risk Management",24130,Introductory,Economics & Finance,English,1-4,49,True,0-50,4.9,118237.00000000001,1182370
Liderazgo orientado al florecimiento humano,7911,Introductory,Business & Management,Español,1-4,149,True,100-150,14.9,117873.90000000001,1178739
Software Construction: Object-Oriented Design,23100,Intermediate,Computer Science,English,4-8,125,True,100-150,12.5,288750.0,2887500
"Introduction to Hyperledger Sovereign Identity Blockchain Solutions: Indy, Aries & Ursa",24130,Introductory,Computer Science,English,4-8,199,True,>150,19.900000000000002,480187.00000000006,4801870
Fondements de l’économie sociale et solidaire,24130,Intermediate,Social Sciences,Otros,8-12,50,False,0-50,5.0,120650.0,1206500
The Civil War and Reconstruction - 1861 - 1865: A New Birth of Freedom,17941,Introductory,History,English,8-12,50,True,0-50,5.0,89705.0,897050
Innovation Strategies for Electric Mobility: The StreetScooter Case,24130,Intermediate,Business & Management,English,4-8,99,True,50-100,9.9,238887.0,2388870
Sustainable Energy,24130,Advanced,Energy & Earth Sciences,English,>12,149,False,100-150,14.9,359537.0,3595370
Designing and Leading Learning Systems,11895,Advanced,Education & Teacher Training,English,4-8,199,True,>150,19.900000000000002,236710.50000000003,2367105
How the U.S. Government Works & How to Get Involved,5930,Introductory,Social Sciences,English,4-8,49,True,0-50,4.9,29057.000000000004,290570
Inspiring and Motivating Arts and Culture Teams,10817,Introductory,Business & Management,English,4-8,49,True,0-50,4.9,53003.3,530033
Principles of Microeconomics: An Economist Way of Thinking,24130,Intermediate,Economics & Finance,English,4-8,149,True,100-150,14.9,359537.0,3595370
A System View of Communications: From Signals to Packets (Part 1),34261,Introductory,Computer Science,English,4-8,60,True,50-100,6.0,205566.0,2055660
"Invasions, Rebellions, and the Fall of Imperial China",41537,Introductory,History,English,>12,139,True,100-150,13.9,577364.3,5773643
AP® English Literature & Composition – Part 3: Plays,6443,Introductory,Humanities,English,4-8,49,True,0-50,4.9,31570.7,315707
Cómo implantar grupos de mejora de procesos,28100,Introductory,Business & Management,Español,4-8,150,True,100-150,15.0,421500.0,4215000
Proteins: Biology's Workforce,25893,Intermediate,Biology & Life Sciences,English,4-8,169,True,>150,16.900000000000002,437591.70000000007,4375917
Introducción a los ritmos y relojes biológicos,6149,Introductory,Science,Español,1-4,50,True,0-50,5.0,30745.0,307450
Linear Algebra I: Linear Equations,24130,Intermediate,Math,English,1-4,199,True,>150,19.900000000000002,480187.00000000006,4801870
"Fundamentals of Biomedical Imaging: Ultrasounds, X-ray, positron emission tomography (PET) and applications",10205,Advanced,Engineering,English,4-8,169,True,>150,16.900000000000002,172464.50000000003,1724645
Fundamentos de Electromagnetismo para Ingeniería,15040,Introductory,Physics,Español,4-8,49,True,0-50,4.9,73696.0,736960
Sustainable Food Systems: A Mediterranean Perspective,6480,Intermediate,Food & Nutrition,English,8-12,49,True,0-50,4.9,31752.000000000004,317520
Scripting and Programming Foundations,24130,Introductory,Computer Science,English,4-8,299,True,>150,29.900000000000002,721487.0,7214870
Using GPUs to Scale and Speed-up Deep Learning,9294,Intermediate,Data Analysis & Statistics,English,4-8,99,True,50-100,9.9,92010.6,920106
StudioX: Creating a Course with edX Studio,20355,Introductory,Education & Teacher Training,English,1-4,99,True,50-100,9.9,201514.5,2015145
The Power of Data,24130,Introductory,Data Analysis & Statistics,English,1-4,49,True,0-50,4.9,118237.00000000001,1182370
Introducción a las ondas gravitacionales,8657,Introductory,Science,Español,1-4,50,True,0-50,5.0,43285.0,432850
Drones and Autonomous Systems 2: Applications in Emergency Management,24130,Intermediate,Science,English,4-8,149,True,100-150,14.9,359537.0,3595370
MathTrackX: Differential Calculus,24130,Introductory,Math,English,1-4,79,True,50-100,7.9,190627.0,1906270
Global China: From the Mongols to the Ming,41902,Introductory,History,English,>12,139,True,100-150,13.9,582437.8,5824378
Leaders in Citizen Security and Justice Management for the Caribbean,24130,Intermediate,Social Sciences,English,8-12,25,True,0-50,2.5,60325.0,603250
Pattern Studying and Making | 图案审美与创作,24130,Introductory,Art & Culture,Otros,8-12,139,True,100-150,13.9,335407.0,3354070
Computational Neuroscience: Neuronal Dynamics of Cognition,11246,Advanced,Biology & Life Sciences,English,4-8,139,True,100-150,13.9,156319.4,1563194
Cities and the Challenge of Sustainable Development,8775,Introductory,Environmental Studies,English,1-4,25,True,0-50,2.5,21937.5,219375
MathTrackX: Special Functions,24130,Introductory,Math,English,1-4,79,True,50-100,7.9,190627.0,1906270
