course_title,is_paid,price,num_subscribers,level,published_timestamp,subject,categ_price,categ_duration,sales,comisiones,costos
Complete Guide to Business Loans,True,30,35,Beginner Level,04-12-2015,Business Finance,0-50,0-2,1050,11.1,388.5
Hot Trading Investing Strategy: ETF and Futures,True,50,80,All Levels,08-12-2014,Business Finance,0-50,2-4,4000,18.5,1480.0
Financial Management - A Complete Study,True,190,1941,All Levels,22-12-2014,Business Finance,150-200,>10,368790,70.3,136452.3
MQL4 Programming for Traders: Build Robust Trading Robots!,True,195,1367,All Levels,22-02-2016,Business Finance,150-200,6-8,266565,72.15,98629.05
Ultimate Stock Market Investing: Learn How to Value Stocks,True,50,1519,All Levels,03-11-2015,Business Finance,0-50,2-4,75950,18.5,28101.5
Collection of Advanced Options concepts for Options traders,True,40,2025,Expert Level,13-04-2015,Business Finance,0-50,0-2,81000,14.8,29970.0
No Bull Investing: Investing 101 For Financial Freedom,True,100,1213,Beginner Level,13-03-2017,Business Finance,50-100,6-8,121300,37.0,44881.0
Financial Modeling - Build Your Own 3 Statement Projection,True,20,1092,Beginner Level,05-07-2016,Business Finance,0-50,0-2,21840,7.4,8080.8
Small Business Owners: Drive a Productive Business and Grow,True,20,5099,Beginner Level,20-01-2015,Business Finance,0-50,2-4,101980,7.4,37732.6
Successful Day Trading with Fibonacci,True,200,869,All Levels,31-08-2015,Business Finance,150-200,0-2,173800,74.0,64306.0
Short Straddles - Exploit Earnings Option Volatility Crush,True,60,59,Expert Level,24-05-2017,Business Finance,50-100,0-2,3540,22.2,1309.8
Bitcoin For Beginners: Your Quick Start Guide To Bitcoin,False,0,10670,All Levels,03-03-2016,Business Finance,0-50,0-2,0,0.0,0.0
Technical Analysis 101: Ten Primary Candlestick Reversals,True,95,1741,All Levels,05-10-2014,Business Finance,50-100,6-8,165395,35.15,61196.149999999994
Financial Analysis:  A Recipe for Success,False,0,19614,All Levels,23-04-2014,Business Finance,0-50,0-2,0,0.0,0.0
"Basics of Fixed Income Valuation, CFA Level I 2017 Prep",True,20,4,Beginner Level,28-01-2017,Business Finance,0-50,2-4,80,7.4,29.6
Intro to Financial Statement Audits,True,50,1,Intermediate Level,29-06-2017,Business Finance,0-50,0-2,50,18.5,18.5
"How to Get Growing, Passive Income from the Fortune 500!",True,25,4,All Levels,19-01-2017,Business Finance,0-50,0-2,100,9.25,37.0
Managing Budgets in the Public and Non Profit Sector,True,95,4,All Levels,22-06-2017,Business Finance,50-100,0-2,380,35.15,140.6
System of Asset Management for Professionals (SAMP),True,50,8,Expert Level,25-09-2015,Business Finance,0-50,0-2,400,18.5,148.0
How to invest in Forex Trading & add an additional income,True,50,8,All Levels,21-11-2015,Business Finance,0-50,0-2,400,18.5,148.0
Tax made simple for Limited Company Owners and Contractors,True,50,11,All Levels,18-02-2015,Business Finance,0-50,2-4,550,18.5,203.5
Introduction to the 8 Pillars for Accountants,True,20,18,Beginner Level,16-08-2014,Business Finance,0-50,0-2,360,7.4,133.20000000000002
FX Trading for Beginners,True,20,16,All Levels,01-12-2013,Business Finance,0-50,0-2,320,7.4,118.4
Write a Successful Business Grant Proposal,True,20,6,Beginner Level,10-07-2016,Business Finance,0-50,2-4,120,7.4,44.400000000000006
A Guide To Trade Binary Options Like An Expert,True,55,4,All Levels,18-07-2016,Business Finance,50-100,0-2,220,20.35,81.4
Ratio analysis for bankers and credit analysts,True,20,1,Beginner Level,12-04-2017,Business Finance,0-50,2-4,20,7.4,7.4
Numbers for the  Business Plan,True,20,210,All Levels,22-09-2014,Business Finance,0-50,0-2,4200,7.4,1554.0
Dash Crypto Currency Technical and Trading Overview Bootcamp,True,20,4,All Levels,19-06-2017,Business Finance,0-50,0-2,80,7.4,29.6
1 - Concepts of Statistics For Beginners Step by Step,True,200,273,Beginner Level,30-08-2015,Business Finance,150-200,0-2,54600,74.0,20202.0
4. Ordinary Simple Annuities: The Basics,True,20,237,All Levels,31-01-2014,Business Finance,0-50,0-2,4740,7.4,1753.8000000000002
الدروس التعليمية لسوق الفوركس والأسواق المالية الأخرى,False,0,368,All Levels,25-04-2017,Business Finance,0-50,>10,0,0.0,0.0
Financial Risk Manager (FRM) Certification: Level II,True,50,86,All Levels,24-07-2013,Business Finance,0-50,>10,4300,18.5,1591.0
Level 1 2014 CFA® Program – Corporate Finance,True,40,204,All Levels,21-06-2014,Business Finance,0-50,2-4,8160,14.8,3019.2000000000003
3. Compound Interest ,True,20,570,All Levels,11-02-2014,Business Finance,0-50,0-2,11400,7.4,4218.0
8. Amortization Schedules,True,20,225,All Levels,19-03-2014,Business Finance,0-50,0-2,4500,7.4,1665.0
Finance Fundamentals for Non Finance Leaders,True,20,37,All Levels,04-08-2015,Business Finance,0-50,0-2,740,7.4,273.8
Strategy layout and Backtesting,True,200,36,Expert Level,21-09-2016,Business Finance,150-200,2-4,7200,74.0,2664.0
Easy Forex and Futures Trading,True,100,218,All Levels,31-12-2013,Business Finance,50-100,>10,21800,37.0,8066.0
Finanzas y Análisis Financiero: Manejo Seguro de Negocios,True,20,50,Beginner Level,16-12-2014,Business Finance,0-50,0-2,1000,7.4,370.0
Aprende a hacer paper trading (simulación) con Ninja Trader,True,25,148,Beginner Level,15-11-2013,Business Finance,0-50,0-2,3700,9.25,1369.0
Trading mit kleinen Konten - Grundlagen die du kennen musst,True,80,74,Beginner Level,29-03-2017,Business Finance,50-100,2-4,5920,29.6,2190.4
entiende la contabilidad y consigue un aumento de salario,True,20,260,Beginner Level,23-09-2015,Business Finance,0-50,0-2,5200,7.4,1924.0
Trade for Profit: Find-Trade Stocks Successfully Arabic عربي,True,95,299,All Levels,12-11-2015,Business Finance,50-100,2-4,28405,35.15,10509.85
Trading Forex  - L'analyse des volumes,True,70,4,All Levels,29-06-2017,Business Finance,50-100,0-2,280,25.9,103.6
Disminuye deudas en tu hogar en menos de 30 días,True,20,65,Beginner Level,19-05-2015,Business Finance,0-50,0-2,1300,7.4,481.0
CPA 10 COMPLETO,True,25,101,All Levels,10-08-2016,Business Finance,0-50,4-6,2525,9.25,934.25
Trading Intradiario basado en Precio y Volumen,True,40,92,Intermediate Level,18-02-2015,Business Finance,0-50,0-2,3680,14.8,1361.6000000000001
Aprenda Cálculo Financeiro de Forma Simples,True,20,76,All Levels,02-06-2016,Business Finance,0-50,0-2,1520,7.4,562.4
Wie funktionieren Bitcoin? Ein Einführungskurs.,True,20,14,Beginner Level,10-05-2017,Business Finance,0-50,0-2,280,7.4,103.60000000000001
Estruturação Financeira,True,45,18,All Levels,08-05-2017,Business Finance,0-50,2-4,810,16.65,299.7
Five steps to becoming a winner in stock investing,True,20,21,All Levels,06-11-2015,Business Finance,0-50,2-4,420,7.4,155.4
Financial Accounting Plus Excel and SAP Crash Course.,True,20,18,Beginner Level,23-05-2016,Business Finance,0-50,0-2,360,7.4,133.20000000000002
Introduction to Financial Consolidation under IFRS,True,25,21,All Levels,05-12-2016,Business Finance,0-50,0-2,525,9.25,194.25
How to read a Profit & Loss Account and Balance Sheet,True,20,49,All Levels,22-09-2014,Business Finance,0-50,0-2,980,7.4,362.6
Learn Bookkeeping From Scratch,True,20,168,All Levels,05-11-2014,Business Finance,0-50,2-4,3360,7.4,1243.2
ACCA MA1 Management Information,True,50,16,Beginner Level,24-08-2015,Business Finance,0-50,2-4,800,18.5,296.0
Introduction to Bitcoin for Beginners,True,20,2,Beginner Level,28-04-2017,Business Finance,0-50,0-2,40,7.4,14.8
Stock Trading: Ultimate Guide to swing trading stocks,True,200,336,All Levels,25-10-2016,Business Finance,150-200,0-2,67200,74.0,24864.0
Bookkeeping Systems,True,20,20,All Levels,22-09-2014,Business Finance,0-50,0-2,400,7.4,148.0
Precious Metal Equities,True,20,28,All Levels,26-05-2013,Business Finance,0-50,0-2,560,7.4,207.20000000000002
Start Now: A Rescue Plan for Retirement Late Savers,True,150,11,All Levels,19-11-2016,Business Finance,100-150,0-2,1650,55.5,610.5
Eu Funding: Module 2 - Introduction to Horizon 2020,True,20,11,Intermediate Level,20-05-2015,Business Finance,0-50,0-2,220,7.4,81.4
How I Make Money Writing About Stocks Online,True,195,360,Beginner Level,18-12-2015,Business Finance,150-200,2-4,70200,72.15,25974.000000000004
Tradeonomics - Four Steps to Mastering Economic Indicators,True,20,1189,All Levels,01-04-2016,Business Finance,0-50,2-4,23780,7.4,8798.6
Improve Your Financial Literacy,False,0,9995,All Levels,10-02-2014,Business Finance,0-50,0-2,0,0.0,0.0
Forex Trading : Power Of Moving Averages,True,200,100,All Levels,02-01-2017,Business Finance,150-200,2-4,20000,74.0,7400.0
Demystifying Your Personal Tax Return,False,0,3426,Beginner Level,25-11-2015,Business Finance,0-50,0-2,0,0.0,0.0
Samuel and Co Trading - Stock & Forex Trading,True,50,592,All Levels,10-02-2014,Business Finance,0-50,4-6,29600,18.5,10952.0
Accounting Department's Tips & Tricks - Beginner to Advanced,True,95,1222,All Levels,07-10-2015,Business Finance,50-100,4-6,116090,35.15,42953.299999999996
Certificate Program In Management Accounting,True,50,1532,All Levels,24-04-2014,Business Finance,0-50,4-6,76600,18.5,28342.0
How I Trade Forex Successfully,False,0,5768,All Levels,13-11-2015,Business Finance,0-50,0-2,0,0.0,0.0
Professional Trading With Institutional Supply & Demand,True,200,343,All Levels,24-11-2014,Business Finance,150-200,4-6,68600,74.0,25382.0
Master Calendar Spreads with this live trade on Gold (GLD),True,60,540,Expert Level,02-03-2013,Business Finance,50-100,0-2,32400,22.2,11988.0
Accounting 101: Guide to Business Accounting,True,50,2031,Beginner Level,21-04-2014,Business Finance,0-50,>10,101550,18.5,37573.5
An Introduction to Financial Markets on Wall Street,True,30,7,All Levels,28-04-2017,Business Finance,0-50,0-2,210,11.1,77.7
Win 90% of Trades; Quantitative Investments Models in Excel,True,200,4,Beginner Level,28-06-2017,Business Finance,150-200,0-2,800,74.0,296.0
The Forex Pivot Points Trading Strategy,True,20,21,All Levels,22-03-2017,Business Finance,0-50,0-2,420,7.4,155.4
Your Business by the Numbers,True,25,29,All Levels,26-09-2013,Business Finance,0-50,2-4,725,9.25,268.25
Forex - Trade Gartley with Precision - Complete Strategy,True,20,50,All Levels,29-07-2016,Business Finance,0-50,0-2,1000,7.4,370.0
Bitcoin & Ethereum Course (2 Course Bundle),True,200,1,All Levels,05-07-2017,Business Finance,150-200,2-4,200,74.0,74.0
Create Trading Robot Without Coding Skills!,True,145,5,All Levels,16-06-2017,Business Finance,100-150,0-2,725,53.65,268.25
Accounting and the Triple Bottom Line,True,30,6,Intermediate Level,10-07-2015,Business Finance,0-50,0-2,180,11.1,66.6
MQL5 - Beginner To Expert,True,45,16,Beginner Level,06-04-2017,Business Finance,0-50,0-2,720,16.65,266.4
How to be A High Performance Insurance Broker Part 2,True,40,70,All Levels,06-04-2014,Business Finance,0-50,0-2,2800,14.8,1036.0
"CFA Level I Workshop 5: Corp Finance, Quants II & Derivative",True,20,110,All Levels,12-08-2013,Business Finance,0-50,0-2,2200,7.4,814.0
Xero Bookkeeping Course & Certification by Accounting Firm,True,20,7,Beginner Level,13-02-2017,Business Finance,0-50,0-2,140,7.4,51.800000000000004
Trading News Using Binary Options,True,145,1186,All Levels,11-05-2016,Business Finance,100-150,0-2,171970,53.65,63628.9
Trading Trends in ANY Market,True,30,632,All Levels,04-10-2015,Business Finance,0-50,0-2,18960,11.1,7015.2
Financial Statements Analysis: Learn to Invest Like a Pro!,True,50,1237,Beginner Level,04-02-2016,Business Finance,0-50,2-4,61850,18.5,22884.5
Contango VXX - ETF Options Trading - Double Your Investment,True,200,513,All Levels,06-10-2016,Business Finance,150-200,0-2,102600,74.0,37962.0
Mergers and Acquisitions M&A Essentials You Need to Know,True,95,4103,Beginner Level,13-11-2013,Business Finance,50-100,0-2,389785,35.15,144220.44999999998
TRADING MARKET MAP,True,45,1489,All Levels,01-07-2015,Business Finance,0-50,2-4,67005,16.65,24791.85
How To Confidently Join The Bitcoin Revolution,True,45,547,Beginner Level,14-01-2016,Business Finance,0-50,6-8,24615,16.65,9107.55
High Probability Trading Across Any Market: Stocks & Forex,True,95,353,All Levels,01-12-2016,Business Finance,50-100,>10,33535,35.15,12407.949999999999
Option Trading for Rookies: Make & Manage Profitable Trades,True,95,507,All Levels,02-09-2016,Business Finance,50-100,0-2,48165,35.15,17821.05
Your First Successful Forex Trades - With Case Studies,True,200,1079,All Levels,26-05-2015,Business Finance,150-200,2-4,215800,74.0,79846.0
MCA Accountancy and Financial Management -Paper MCS 35 IGNOU,True,180,3667,All Levels,06-12-2014,Business Finance,150-200,>10,660060,66.6,244222.19999999998
"High-Frequency Trading #1: Basics, History & Strategies",True,50,2222,All Levels,28-09-2015,Business Finance,0-50,0-2,111100,18.5,41107.0
Financial Accounting - The Ultimate Beginner Course,True,100,9,Beginner Level,06-04-2017,Business Finance,50-100,8-10,900,37.0,333.0
Level 1 2014 CFA® Program – Derivatives,True,40,225,All Levels,03-09-2014,Business Finance,0-50,2-4,9000,14.8,3330.0
The Complete Investing Guide: How to Beat Wall Street,True,50,13,All Levels,14-06-2016,Business Finance,0-50,4-6,650,18.5,240.5
"Bitcoins - Past, Present, Future",True,20,373,Beginner Level,23-04-2014,Business Finance,0-50,0-2,7460,7.4,2760.2000000000003
Learn Accounting by Specific Examples - Part 1,True,50,306,All Levels,28-11-2014,Business Finance,0-50,0-2,15300,18.5,5661.0
Forex: Presentation and  Analysis (Fundamental & Technical),True,50,14,Beginner Level,16-01-2016,Business Finance,0-50,0-2,700,18.5,259.0
Year-end QuickBooks Procedures,True,20,51,Beginner Level,19-02-2015,Business Finance,0-50,0-2,1020,7.4,377.40000000000003
Price Action Gap Trading Strategies,True,20,13,Intermediate Level,31-12-2016,Business Finance,0-50,0-2,260,7.4,96.2
How to start a successful career in finance?,False,0,1318,All Levels,24-08-2016,Business Finance,0-50,0-2,0,0.0,0.0
Level 1 2014 CFA® Program – Equity Investments,True,40,347,All Levels,30-01-2015,Business Finance,0-50,4-6,13880,14.8,5135.6
Wealth Management,True,30,274,All Levels,17-12-2014,Business Finance,0-50,2-4,8220,11.1,3041.4
Basics of Private Equity,True,60,9,Intermediate Level,09-05-2017,Business Finance,50-100,0-2,540,22.2,199.79999999999998
Curso Completo del Mercado FOREX,True,200,359,All Levels,18-11-2015,Business Finance,150-200,4-6,71800,74.0,26566.0
Como Investir em Ações para Iniciantes,False,0,6024,All Levels,11-04-2014,Business Finance,0-50,0-2,0,0.0,0.0
Robots de Forex: espere ganar 175%p.a! Incluye Robot de Fx! ,True,130,315,All Levels,22-01-2016,Business Finance,100-150,4-6,40950,48.1,15151.5
６時間でインターバンク市場を攻略！最短距離でトレード基礎力,True,35,280,All Levels,10-11-2015,Business Finance,0-50,2-4,9800,12.95,3626.0
Matemática Financeira de um jeito fácil,True,95,401,All Levels,23-07-2013,Business Finance,50-100,0-2,38095,35.15,14095.15
ビットコイン生態系｜既存通貨が主役をやめる日,True,20,701,Beginner Level,23-06-2014,Business Finance,0-50,0-2,14020,7.4,5187.400000000001
Trading Forex - Trader avec les figures harmoniques,True,90,57,Beginner Level,31-03-2017,Business Finance,50-100,0-2,5130,33.3,1898.1
Введение в Финансовую Инженерию,True,50,205,Beginner Level,20-11-2016,Business Finance,0-50,4-6,10250,18.5,3792.5
Aprenda a Investir no Tesouro Direto Passo a Passo,True,35,62,All Levels,25-04-2017,Business Finance,0-50,0-2,2170,12.95,802.9
資産運用の基礎を学ぶファイナンス入門,True,20,114,Beginner Level,07-07-2016,Business Finance,0-50,2-4,2280,7.4,843.6
Aprende a invertir y deja que tu dinero trabaje para ti,True,145,789,All Levels,03-03-2014,Business Finance,100-150,>10,114405,53.65,42329.85
Buchführung lernen leicht gemacht,True,40,446,Beginner Level,13-06-2016,Business Finance,0-50,4-6,17840,14.8,6600.8
Day Trading: High ROI Day Trading ,True,150,17,Intermediate Level,29-07-2015,Business Finance,100-150,6-8,2550,55.5,943.5
Flow Management and Forecasting,True,20,16,All Levels,22-09-2014,Business Finance,0-50,0-2,320,7.4,118.4
An Introduction to Management of Portfolios (MoP),True,20,117,Beginner Level,06-03-2014,Business Finance,0-50,0-2,2340,7.4,865.8000000000001
CFA Level I Workshop 1: Ethics and Quantitative Methods,True,20,147,All Levels,12-08-2013,Business Finance,0-50,0-2,2940,7.4,1087.8
Accounting Basics 101 for Understanding Business,True,20,7,All Levels,07-01-2016,Business Finance,0-50,0-2,140,7.4,51.800000000000004
Mortgage Acceleration,True,20,247,All Levels,21-08-2015,Business Finance,0-50,0-2,4940,7.4,1827.8000000000002
Stock Market for Beginners. Learn to trade,True,35,143,All Levels,03-10-2013,Business Finance,0-50,2-4,5005,12.95,1851.85
CFA Corporate Finance Level 1 (Part 1),True,180,621,All Levels,06-12-2014,Business Finance,150-200,>10,111780,66.6,41358.6
Trading Tips from Hedge Fund Manager,True,50,6,All Levels,22-07-2015,Business Finance,0-50,0-2,300,18.5,111.0
Effective Debt Collection Strategies,True,40,5,Intermediate Level,30-11-2015,Business Finance,0-50,0-2,200,14.8,74.0
IAS 1-Presentation of Financial Statements ,False,0,2674,All Levels,03-10-2014,Business Finance,0-50,0-2,0,0.0,0.0
Stock Trading Strategies Using a D.A.R.T.,True,20,227,All Levels,26-05-2015,Business Finance,0-50,0-2,4540,7.4,1679.8000000000002
Capital Structuring Techiques for CA / CFA / CPA Exams,True,125,4480,Intermediate Level,05-12-2014,Business Finance,100-150,6-8,560000,46.25,207200.0
The Complete Guide to Forex Trading,True,20,1329,All Levels,05-02-2017,Business Finance,0-50,4-6,26580,7.4,9834.6
Learn How to Trade Binary Options Professionally,False,0,5144,All Levels,03-02-2017,Business Finance,0-50,0-2,0,0.0,0.0
Learn How to Start Small and Make It Big In Small-Cap Stocks,True,50,2635,Beginner Level,08-02-2016,Business Finance,0-50,0-2,131750,18.5,48747.5
Trading strategies with common sense technical analysis,True,75,1750,All Levels,19-07-2015,Business Finance,50-100,2-4,131250,27.75,48562.5
Startup Business: How To Raise Seed Capital,True,95,3360,All Levels,15-03-2015,Business Finance,50-100,2-4,319200,35.15,118104.0
Business Economics - Basics (College Level),True,50,3425,All Levels,16-09-2015,Business Finance,0-50,2-4,171250,18.5,63362.5
Technical Analysis 101: Master the Basics of Trading,True,95,2688,All Levels,13-05-2015,Business Finance,50-100,0-2,255360,35.15,94483.2
Investing in Stocks? Master The Art of Covered Calls Selling,True,80,1095,All Levels,28-07-2016,Business Finance,50-100,2-4,87600,29.6,32412.0
How to Trade Binary Options Effectively – All Levels,True,195,1680,All Levels,27-01-2016,Business Finance,150-200,0-2,327600,72.15,121212.00000000001
Stock Market: The Zero Risk Way of Investing,True,25,2046,Beginner Level,18-03-2016,Business Finance,0-50,0-2,51150,9.25,18925.5
Forex Trading using professional indicators by TOP traders,True,200,1699,All Levels,07-07-2015,Business Finance,150-200,2-4,339800,74.0,125726.0
Corporate Finance 101: Equity Valuation,True,50,1071,All Levels,29-03-2016,Business Finance,0-50,4-6,53550,18.5,19813.5
Trading Strategies: Find The Trading Strategy That Fits You,True,20,1037,All Levels,29-12-2015,Business Finance,0-50,0-2,20740,7.4,7673.8
Forex Trading - Learn An Effective Forex Trading Strategy,True,95,223,All Levels,14-12-2016,Business Finance,50-100,0-2,21185,35.15,7838.45
Navigate the 10-K and Other Financial Reports,True,40,653,All Levels,08-11-2014,Business Finance,0-50,2-4,26120,14.8,9664.4
From 0 to 1: Investments and Portfolio Theory,True,50,230,Beginner Level,01-05-2017,Business Finance,0-50,4-6,11500,18.5,4255.0
Bitcoin - The Complete Guide,True,20,2281,All Levels,04-07-2014,Business Finance,0-50,4-6,45620,7.4,16879.4
Professional Trader's Mindset - Complete Forex Course,True,50,4702,All Levels,07-06-2013,Business Finance,0-50,0-2,235100,18.5,86987.0
Bitcoin Peer Investing: How To Generate Double Digit Returns,True,25,366,All Levels,24-01-2016,Business Finance,0-50,2-4,9150,9.25,3385.5
Forex Breakout Profits: The Definitive Guide,True,25,521,All Levels,30-11-2014,Business Finance,0-50,2-4,13025,9.25,4819.25
Learn to Trade With Fibonacci Tools,True,30,252,Intermediate Level,17-08-2016,Business Finance,0-50,2-4,7560,11.1,2797.2
"Investing Internationally into Real Estate, Stocks and Bonds",True,200,1101,All Levels,27-01-2016,Business Finance,150-200,0-2,220200,74.0,81474.0
From 0 to 1: Bond Theory and Valuation,True,50,223,Beginner Level,02-05-2017,Business Finance,0-50,2-4,11150,18.5,4125.5
Stock Market Mastery,True,20,135,All Levels,08-06-2014,Business Finance,0-50,6-8,2700,7.4,999.0
UK Self Assessment Tax Return Filing Online,True,20,23,All Levels,07-12-2015,Business Finance,0-50,0-2,460,7.4,170.20000000000002
Introduction to Financial Statements,True,40,112,Beginner Level,16-08-2015,Business Finance,0-50,0-2,4480,14.8,1657.6000000000001
"IAS 8-Accounting Policies ,Changes in Accounting Estimates",False,0,2122,All Levels,03-10-2014,Business Finance,0-50,2-4,0,0.0,0.0
CFA® Level 1 2014 – Financial Reporting and Analysis,True,50,152,All Levels,26-02-2015,Business Finance,0-50,8-10,7600,18.5,2812.0
Investment Banking Operations : Securities Trade Life Cycle,True,30,267,All Levels,02-01-2015,Business Finance,0-50,0-2,8010,11.1,2963.7
CFA Level I Foundation Course: Introduction to Quants,True,50,155,Beginner Level,05-08-2013,Business Finance,0-50,4-6,7750,18.5,2867.5
Financial Risk Manager (FRM) Certification: Level I,True,50,87,All Levels,26-10-2013,Business Finance,0-50,>10,4350,18.5,1609.5
IAS 10 - Events After Reporting Date,False,0,2146,All Levels,07-05-2014,Business Finance,0-50,0-2,0,0.0,0.0
Investment Portfolio Analysis with Excel,True,50,154,All Levels,12-11-2015,Business Finance,0-50,8-10,7700,18.5,2849.0
Introduction to the CFA Program,False,0,4248,Beginner Level,12-08-2013,Business Finance,0-50,0-2,0,0.0,0.0
Chartered Financial Analyst (CFA) - Level 1 - FRA,True,30,517,Beginner Level,30-06-2014,Business Finance,0-50,>10,15510,11.1,5738.7
Excel 4 Accounting & Bookkeeping - Master Lookup Functions,True,35,2638,All Levels,13-02-2016,Business Finance,0-50,0-2,92330,12.95,34162.1
Cashflow Management for Small Businesses: A How To Guide,True,25,2914,All Levels,13-06-2016,Business Finance,0-50,0-2,72850,9.25,26954.5
Forex Basics (Professional Course Level),True,20,6050,All Levels,19-12-2014,Business Finance,0-50,0-2,121000,7.4,44770.0
Advanced Butterfly Spreads for Options Income Strategies,True,60,16,Expert Level,04-07-2017,Business Finance,50-100,0-2,960,22.2,355.2
The Holy Grail of Auto Trading Forex Futures Stocks Revealed,True,50,3917,All Levels,03-05-2016,Business Finance,0-50,0-2,195850,18.5,72464.5
IPO Fundamentals,True,20,1122,Beginner Level,02-03-2017,Business Finance,0-50,0-2,22440,7.4,8302.800000000001
Finance for Non-Finance: Learn Quick and Easy,True,20,4158,Beginner Level,25-02-2016,Business Finance,0-50,2-4,83160,7.4,30769.2
Advanced Options Trading Course,True,40,1252,Intermediate Level,29-06-2017,Business Finance,0-50,0-2,50080,14.8,18529.600000000002
Statistics - Measures of Dispersion for CA / CS / CFA exams,True,20,5108,All Levels,14-09-2015,Business Finance,0-50,0-2,102160,7.4,37799.200000000004
Work From Home Online (Part/Full) : Trade Forex 4 Beginners,True,45,2981,Beginner Level,09-10-2016,Business Finance,0-50,0-2,134145,16.65,49633.649999999994
Financial Ratios Using Excel,True,100,1223,Beginner Level,07-03-2017,Business Finance,50-100,0-2,122300,37.0,45251.0
How To Start Trading Penny Stocks In 10 Easy Steps 2017,True,50,7750,All Levels,17-07-2014,Business Finance,0-50,0-2,387500,18.5,143375.0
How to Copy the Best Traders on Etoro,True,90,564,All Levels,01-05-2014,Business Finance,50-100,2-4,50760,33.3,18781.199999999997
How To Set Up A Limited Company In The UK,False,0,2075,Beginner Level,20-04-2015,Business Finance,0-50,0-2,0,0.0,0.0
Forex trading made simple,True,100,45,All Levels,25-09-2015,Business Finance,50-100,0-2,4500,37.0,1665.0
Financial and Business Simulation with Microsoft Excel,True,20,44,Expert Level,29-03-2015,Business Finance,0-50,0-2,880,7.4,325.6
10.  Bonds and Bond Pricing,True,20,308,All Levels,11-02-2014,Business Finance,0-50,0-2,6160,7.4,2279.2000000000003
Professional Risk Manager (PRM) Certification: Level 3,True,50,55,All Levels,23-07-2013,Business Finance,0-50,>10,2750,18.5,1017.5
Stocks: Quick Method to get started Investing,False,0,718,Beginner Level,18-05-2017,Business Finance,0-50,0-2,0,0.0,0.0
The Fundamentals Of Finance For Non-Finance Professionals,True,40,206,All Levels,18-05-2016,Business Finance,0-50,0-2,8240,14.8,3048.8
Forex - Top Equity Management Strategy,True,20,18,All Levels,20-06-2016,Business Finance,0-50,0-2,360,7.4,133.20000000000002
The Truths about (in)secure Retirement,True,200,86,Intermediate Level,03-10-2016,Business Finance,150-200,4-6,17200,74.0,6364.0
Learn How to File Taxes for Uber and Lyft Drivers,True,40,294,All Levels,12-02-2015,Business Finance,0-50,0-2,11760,14.8,4351.2
Learn the Basics of the Wave Principle:,True,30,27,Beginner Level,02-07-2015,Business Finance,0-50,0-2,810,11.1,299.7
MasterClass-Japanese &  Heiken Ashi CandleStick Patterns,True,195,375,All Levels,12-03-2017,Business Finance,150-200,2-4,73125,72.15,27056.250000000004
Start Trading Stocks Using Technical Analysis! Part 2,True,95,94,All Levels,23-05-2017,Business Finance,50-100,0-2,8930,35.15,3304.1
Introduction to Corporate Finance (Mergers & Acquisitions),False,0,2080,Beginner Level,28-02-2017,Business Finance,0-50,0-2,0,0.0,0.0
Forex & Financial Market Trading Tutorial- Online Strategies,False,0,3137,All Levels,12-04-2017,Business Finance,0-50,8-10,0,0.0,0.0
Learn to trade Candlestick Patterns,True,20,155,Intermediate Level,16-08-2016,Business Finance,0-50,0-2,3100,7.4,1147.0
High-Frequency Trading #2: Market Structure & Instruments,True,50,1732,All Levels,19-11-2015,Business Finance,0-50,0-2,86600,18.5,32042.0
The Art Of Financial Valuation With Certificate,True,20,3372,All Levels,29-09-2013,Business Finance,0-50,0-2,67440,7.4,24952.800000000003
Sensitivity & Scenario Analysis for CA / CFA / CPA Exams,True,20,2185,All Levels,20-09-2015,Business Finance,0-50,0-2,43700,7.4,16169.0
"Economics:   Competition, Elasticity, a little Game Theory",True,50,1008,All Levels,12-04-2016,Business Finance,0-50,4-6,50400,18.5,18648.0
Quantitative Trading Analysis with Python,True,50,256,All Levels,27-01-2017,Business Finance,0-50,4-6,12800,18.5,4736.0
Invest Like a Pro!,True,200,1173,Beginner Level,29-12-2015,Business Finance,150-200,2-4,234600,74.0,86802.0
Options Trading Essentials: The ULTIMATE Guides,False,0,1352,All Levels,24-04-2017,Business Finance,0-50,2-4,0,0.0,0.0
ACCA FA1 Recording Financial Transactions,True,50,49,Beginner Level,14-07-2015,Business Finance,0-50,2-4,2450,18.5,906.5
CFA® Level 1 2014 – Portfolio Management,True,40,124,All Levels,02-03-2015,Business Finance,0-50,0-2,4960,14.8,1835.2
Essentials Of Swing Trading Stocks,True,20,105,All Levels,03-06-2015,Business Finance,0-50,0-2,2100,7.4,777.0
Small Business and Managerial Accounting Training Tutorial,True,20,117,Beginner Level,19-06-2013,Business Finance,0-50,2-4,2340,7.4,865.8000000000001
Use Crowdfunding Effectively With Indiegogo and Kickstarter,False,0,6533,All Levels,25-06-2013,Business Finance,0-50,0-2,0,0.0,0.0
The Complete Litecoin Crypto Currency Bootcamp,True,20,7,All Levels,28-06-2017,Business Finance,0-50,0-2,140,7.4,51.800000000000004
Bank Reconciliation & VAT on Excel,True,20,30,All Levels,22-09-2014,Business Finance,0-50,0-2,600,7.4,222.0
Commodity Futures Day Trading Strategies,True,95,91,All Levels,28-08-2015,Business Finance,50-100,4-6,8645,35.15,3198.65
