course_title,is_paid,price,num_subscribers,level,published_timestamp,subject,categ_price,categ_duration,sales,comisiones,costos
Trade Recap I - A Real Look at Futures Options Markets,True,20,3339,Beginner Level,17-02-2014,Business Finance,0-50,0-2,66780,7.4,24708.600000000002
Advanced Stock Options for Serious Equity Investors!,True,200,1271,Expert Level,22-09-2015,Business Finance,150-200,0-2,254200,74.0,94054.0
Trading Binary Options for Fun and Profit,True,20,1574,All Levels,21-02-2015,Business Finance,0-50,0-2,31480,7.4,11647.6
CFA: Fast Track your career in Finance,True,20,1393,Beginner Level,29-09-2015,Business Finance,0-50,0-2,27860,7.4,10308.2
How to be a Profitable Forex Trader,True,20,1029,All Levels,04-05-2016,Business Finance,0-50,0-2,20580,7.4,7614.6
Excel Dashboard - Interactive Excel Dashboard and Charts,True,30,843,All Levels,19-03-2015,Business Finance,0-50,2-4,25290,11.1,9357.3
Accounting 101: Learn Business Finance Forecasting in 60mins,True,95,1730,All Levels,24-07-2014,Business Finance,50-100,0-2,164350,35.15,60809.5
The Securities Trade Lifecycle,True,50,1182,All Levels,12-03-2014,Business Finance,0-50,2-4,59100,18.5,21867.0
Double your Forex Account using the MAGIC MA trading robot,True,65,1160,Intermediate Level,10-12-2014,Business Finance,50-100,2-4,75400,24.05,27898.0
Technical Analysis 101: How to Profit During Market Crashes,True,95,1730,All Levels,27-01-2016,Business Finance,50-100,0-2,164350,35.15,60809.5
Advanced Accounting for Investment Banking,True,50,1260,Intermediate Level,01-10-2014,Business Finance,0-50,2-4,63000,18.5,23310.0
Investing In Stocks With 10 Simple Rules,True,95,871,All Levels,16-06-2015,Business Finance,50-100,0-2,82745,35.15,30615.649999999998
Venture Capital. What is it and Why it Matters to You!,True,50,1566,All Levels,14-10-2015,Business Finance,0-50,2-4,78300,18.5,28971.0
Cash Flow Valuation: Develop Your Financial Literacy,True,105,2987,All Levels,22-12-2014,Business Finance,100-150,0-2,313635,38.85,116044.95
Direction-Independ Trading - Elite Forex Traders  Strategy,True,120,973,All Levels,21-06-2016,Business Finance,100-150,2-4,116760,44.4,43201.2
How to Become a Financial Analyst from Scratch!,True,40,2177,Beginner Level,07-07-2015,Business Finance,0-50,4-6,87080,14.8,32219.600000000002
First Steps to Trading the Forexmarkets : Technical Analysis,True,35,1772,Beginner Level,08-01-2016,Business Finance,0-50,2-4,62020,12.95,22947.399999999998
Financial analysis: Compare performance of companies,True,20,1850,All Levels,01-06-2015,Business Finance,0-50,0-2,37000,7.4,13690.0
Forex for Beginners: Easy Forex Trading for Beginners,False,0,1780,Beginner Level,18-05-2017,Business Finance,0-50,0-2,0,0.0,0.0
Investment Crowdfunding 101 (a.k.a Equity Crowdfunding),False,0,4607,Beginner Level,17-05-2016,Business Finance,0-50,0-2,0,0.0,0.0
Read financial statements like a pro,True,50,12,Intermediate Level,02-03-2015,Business Finance,0-50,2-4,600,18.5,222.0
10 Numbers Every Business Owner Should Know,True,20,13,All Levels,08-03-2015,Business Finance,0-50,0-2,260,7.4,96.2
Learn How To Trade Gold In 2017,True,200,2,All Levels,06-04-2017,Business Finance,150-200,0-2,400,74.0,148.0
IAS 18 - Revenue,False,0,2571,All Levels,29-03-2014,Business Finance,0-50,4-6,0,0.0,0.0
Forex Trading: The High ROI Forex Trading End of Day Course,True,125,8,Intermediate Level,16-06-2014,Business Finance,100-150,2-4,1000,46.25,370.0
Fundraise the Simplified Way: A Crowdfunding Blueprint,True,35,7,All Levels,23-02-2015,Business Finance,0-50,0-2,245,12.95,90.64999999999999
Fundamentals of Accounting for Business Owners,True,20,217,Beginner Level,06-02-2017,Business Finance,0-50,2-4,4340,7.4,1605.8000000000002
